Date,High,Low,Open,Close,Volume,Adj Close,Ma20,Ma60,Ma120,macd_dif,macd_dea,macd_bar,RSV,K,D,J
2018-01-02,11.93000031,11.75,11.82999992,11.86999989,9507327,11.77256012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,12.26000023,11.81000042,11.81000042,12.17000008,16068391,12.07009792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-04,12.18000031,12.01000023,12.06000042,12.09000015,10067364,11.99075508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-05,12.38000011,12.02999973,12.15999985,12.03999996,12695730,11.94116592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-08,12.55000019,11.69999981,11.96000004,12.31999969,21512391,12.21886635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-09,12.31000042,12.03999996,12.22000027,12.13000011,13100821,12.03042698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-10,13.30000019,12.13000011,12.13000011,13.17000008,62382377,13.06188869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-11,14.25,12.81999969,13.17000008,13.72999954,80553955,13.6172924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-12,13.56000042,12.97999954,13.5,13.0,46996971,12.893284800000002,0.0,0.0,0.0,0.0,0.0,0.0,50.98039580930384,50.0,50.0,50.0
2018-01-15,12.86999989,12.25,12.69999981,12.43999958,31707736,12.33788204,0.0,0.0,0.0,0.0,0.0,0.0,29.01959666128498,43.006532220428326,47.66884407347611,33.681908514332775
2018-01-16,12.92000008,12.38000011,12.52999973,12.81999969,28934019,12.71476173,0.0,0.0,0.0,0.0,0.0,0.0,43.921560648981746,43.3115416966128,46.216409947855006,37.50180519412838
2018-01-17,12.44999981,11.88000011,12.26000023,12.17000008,28271151,12.07009792,0.0,0.0,0.0,0.0,0.0,0.0,18.43138176393625,35.018155052387286,42.48365831603243,20.087148525096993
2018-01-18,12.30000019,12.02999973,12.10000038,12.11999989,10924184,12.02050877,0.0,0.0,0.0,0.0,0.0,0.0,16.47059014532862,28.835633416701064,37.934316682921974,10.638266884259252
2018-01-19,12.27000046,12.01000023,12.22000027,12.03999996,12126013,11.94116592,0.0,0.0,0.0,0.0,0.0,0.0,6.751048836546575,21.474105223316233,32.44757952972006,-0.47284338949141613
2018-01-22,12.36999989,11.76000023,11.92000008,12.27000046,17827935,12.16927719,0.0,0.0,0.0,0.0,0.0,0.0,20.481938839697197,21.14338309544322,28.67951405162778,6.071121183074098
2018-01-23,12.32999992,12.17000008,12.17000008,12.22999954,10686836,12.12960529,0.0,0.0,0.0,0.0,0.0,0.0,18.875476040706634,20.38741407719769,25.91548072681775,9.331280777957566
2018-01-24,12.55000019,12.06000042,12.19999981,12.47000027,21589247,12.36763573,0.0,0.0,0.0,0.0,0.0,0.0,39.44444250308665,26.73975688582734,26.190239446487617,27.83879176450678
2018-01-25,12.67000008,12.30000019,12.36999989,12.35000038,18140529,12.24862003,0.0,0.0,0.0,0.0,0.0,0.0,50.86208847354605,34.78053408173358,29.053670991569604,46.234260262061525
2018-01-26,12.67000008,12.25,12.26000023,12.47999954,18439278,12.37755299,0.0,0.0,0.0,0.0,0.0,0.0,62.068914060635464,43.87666074136754,33.99466757483558,63.64064707443144
2018-01-29,12.64000034,12.01000023,12.36999989,12.09000015,19281215,11.99075508,12.399999951999998,0.0,0.0,0.0,0.0,0.0,36.26373345006601,41.339018310933696,36.442784486868284,51.13148595906452
2018-01-30,12.14000034,11.76000023,12.01000023,11.89999962,14111209,11.8023138,12.401499938499999,0.0,0.0,0.0,0.0,0.0,15.38455088756331,32.68752916981023,35.1910327145156,27.6805220803995
2018-01-31,11.86999989,11.43000031,11.86999989,11.53999996,17672905,11.44526958,12.3699999325,0.0,0.0,0.0,0.0,0.0,8.870941161545456,24.74866650038864,31.71024397647328,10.825511548219367
2018-02-01,11.64000034,10.60000038,11.55000019,10.64000034,22955889,10.55265808,12.297499942,0.0,0.0,0.0,0.0,0.0,1.932365497444247,17.143232832740512,26.854573595229024,-2.2794486922365067
2018-02-02,10.88000011,10.28999996,10.72999954,10.77000046,12462012,10.68159103,12.233999966999999,0.0,0.0,0.0,0.0,0.0,20.16808721841581,18.15151762796561,23.953554939474554,6.5474430049477235
2018-02-05,10.86999989,10.44999981,10.44999981,10.77999973,6893144,10.69150829,12.156999969,0.0,0.0,0.0,0.0,0.0,20.58822459219039,18.963753282707202,22.2902877205521,12.310684407017405
2018-02-06,10.73999977,9.850000381000001,10.57999992,9.890000342999999,18259965,9.808815002000001,12.04499998065,0.0,0.0,0.0,0.0,0.0,1.4184385201949554,13.115315028536454,19.23196348988022,0.8820181058489212
2018-02-07,10.23999977,9.68999958,10.18000031,10.0,13893312,9.91791153,11.886499976649999,0.0,0.0,0.0,0.0,0.0,10.40269691229917,12.211108989790691,16.891678656517044,2.84996965633799
2018-02-08,10.25,9.899999618999999,10.0,10.22999954,9360278,10.1460228,11.71149997665,0.0,0.0,0.0,0.0,0.0,18.30507867394581,14.242432217842397,16.00859651029216,10.710103632942868
2018-02-09,10.14000034,9.5,9.970000267,9.68999958,13834229,9.610455513,11.54599995565,0.0,0.0,0.0,0.0,0.0,7.196952860998505,11.893939098894434,14.637044039826252,6.407729217030795
2018-02-12,10.18999958,9.75,9.75,10.14000034,11972080,10.0567627,11.43099999365,0.0,0.0,0.0,0.0,0.0,27.004235008635387,16.93070440214142,15.401597493931307,19.988918218561647
2018-02-13,10.55000019,10.14000034,10.17000008,10.19999981,13348214,10.11626911,11.29999999965,0.0,0.0,0.0,0.0,0.0,32.71026629836888,22.190558367550572,17.664584451804394,31.24250619904292
2018-02-14,10.30000019,10.09000015,10.25,10.21000004,6878328,10.12618732,11.20199999765,0.0,0.0,0.0,0.0,0.0,51.44927415984054,31.943463631647226,22.42421084508534,50.98196920477099
2018-02-22,10.5,10.30000019,10.35000038,10.40999985,9767216,10.32454586,11.116499995649999,0.0,0.0,0.0,0.0,0.0,66.42335204859029,43.43675977062824,29.428393820266308,71.45349167135211
2018-02-23,10.55000019,10.32999992,10.43999958,10.46000004,7911897,10.37413502,11.03749999965,0.0,0.0,-0.6078403267695336,-0.6130382482581397,0.005197921488606094,77.41937242456102,54.76429732193917,37.873694987490595,88.5455019908363
2018-02-26,10.81000042,10.46000004,10.56000042,10.75,14157476,10.66175556,10.96149997665,0.0,0.0,-0.5503949664674774,-0.6005095919000072,0.05011462543252976,95.41981673563129,68.31613712650321,48.021175700494794,108.90605997852003
2018-02-27,11.07999992,10.71000004,10.78999996,10.85999966,19311045,10.77085114,10.89299998265,0.0,0.0,-0.4903407088351841,-0.5784758152870426,0.08813510645185851,86.07593220637627,74.23606881979423,56.75947340692794,109.18925964552679
2018-02-28,11.03999996,10.64000034,10.81999969,10.88000011,15391856,10.79068756,10.81349997465,0.0,0.0,-0.4361062464869754,-0.5500019015270292,0.11389565504005383,87.34178353629277,78.6046403919604,64.04119573527208,107.73152970533704
2018-03-01,11.97000027,10.76000023,10.77999973,11.93999958,44378257,11.841985699999999,10.79299993465,0.0,0.0,-0.3040866245732836,-0.5008188461362801,0.19673222156299652,98.64861773192489,85.28596617194856,71.1227858808309,113.61232675418387
2018-03-02,11.93000031,11.46000004,11.72999954,11.48999977,31638137,11.39567947,10.74349994615,0.0,0.0,-0.23308449396200714,-0.4472719757014255,0.21418748173941837,74.46806014033663,81.67999749474458,74.64185641880212,95.75627964662951
2018-03-05,12.15999985,11.56000042,11.69999981,12.13000011,36131285,12.03042698,10.74549994415,0.0,0.0,-0.123745652326825,-0.3825667110265054,0.2588210586996804,98.55073698802947,87.30357732583954,78.86243005448127,104.18587186855606
2018-03-06,12.22999954,11.89999962,12.03999996,12.07999992,31936387,11.98083687,10.75449995915,0.0,0.0,-0.04065972999354095,-0.3141853148199125,0.27352558482637157,92.22799634621643,88.94505033263184,82.22330348053146,102.38854403683263
2018-03-07,12.0,11.77000046,11.98999977,11.78999996,19290117,11.69321728,10.76699995915,0.0,0.0,0.0017655369056814862,-0.2509951444747937,0.2527606813804752,76.84212273684558,84.91074113403641,83.11911603169978,88.49399133870969
